Source,Translation
"<h6><u>Jet Rapide&nbsp;:</u></h6>
<ul> <li>Initiative&nbsp;: jet d&rsquo;initiative</li> <li>Sauvegarde&nbsp;: jet d&rsquo;&Eacute;tourdissement</li> <li>Combat&nbsp;: liste des comp&eacute;tences de combat</li> <li>Magie&nbsp;: liste des comp&eacute;tences magiques</li> <li>Indice&nbsp;: jet de d&eacute;g&acirc;ts des indices</li> </ul> ","<h6><u>Quick roll:</u></h6>
<ul> <li> Initiative: initiative roll </li> <li> Saving: stun roll </li> <li> Combat: list of combat skills </li> <li> Magic: list of magic skills </li> <li> Hint: hint damage roll </li> </ul> "
<u>Vulnérabilités</u>,<u>Vulnerabilities</u>
<u>Capacités</u>,<u>Abilities</u>
Menace:,Threat:
Fort simple,Hard Difficult
Récompense:,Bounty:
1200 couronnes,1200 crowns
Armure:,Armor:
"Tête:
Torse:
Jambes:","Head:
Torso:
Leg:"
Information,
Compétences & Caractéristiques,Statistics & Skills
Prétiré:,
Taille:,Height:
Taille humaine,Around 1 meter
Poids:,Weight:
Poids humain,Around 13kg
Intelligence:,
Humaine,
<u>Environnement:</u>,<u>Environment:</u>
<u>Organisation:</u>,<u>Organization:</u>
<u>Butin:</u>,<u>Loot:</u>
<u>Armes:</u>,<u>Weapons:</u>
Att/tour,ROF
"POR: 4m, Poison (75%)",
Compétence:,Skill:
La plupart des monstres utilisent la compétence Mêlée,Most monsters use the Melee skill
PRÉ:,WA:
